root@eda-demo-control-plane:/# kubectl get crds
NAME                                                    CREATED AT
dhcprelays.services.eda.nokia.com                       2025-11-24T13:47:15Z
discoveries.components.eda.nokia.com                    2025-11-24T13:47:25Z
discoveryaggregatestates.components.eda.nokia.com       2025-11-24T13:47:25Z
discoverystates.components.eda.nokia.com                2025-11-24T13:47:25Z
drains.routing.eda.nokia.com                            2025-11-24T13:47:10Z
drainstates.routing.eda.nokia.com                       2025-11-24T13:47:10Z
edgeinterfaces.core.eda.nokia.com                       2025-11-24T13:40:12Z
edgepings.services.eda.nokia.com                        2025-11-24T13:47:15Z
egresspolicys.qos.eda.nokia.com                         2025-11-24T13:47:24Z
engineconfigs.core.eda.nokia.com                        2025-11-24T13:40:12Z
fabricmodules.components.eda.nokia.com                  2025-11-24T13:47:25Z
fabrics.fabrics.eda.nokia.com                           2025-11-24T13:47:27Z
fabricstates.fabrics.eda.nokia.com                      2025-11-24T13:47:27Z
fans.components.eda.nokia.com                           2025-11-24T13:47:25Z
filterdeployments.filters.eda.nokia.com                 2025-11-24T13:47:13Z
filters.filters.eda.nokia.com                           2025-11-24T13:47:13Z
forwardingclasss.qos.eda.nokia.com                      2025-11-24T13:47:24Z
globalconfigs.core.eda.nokia.com                        2025-11-24T13:40:12Z
httpproxies.core.eda.nokia.com                          2025-11-24T13:40:12Z
indexallocationpools.core.eda.nokia.com                 2025-11-24T13:40:12Z
ingresspolicys.qos.eda.nokia.com                        2025-11-24T13:47:24Z
inits.bootstrap.eda.nokia.com                           2025-11-24T13:47:17Z
interfacemodules.components.eda.nokia.com               2025-11-24T13:47:25Z
interfaces.interfaces.eda.nokia.com                     2025-11-24T13:47:33Z
interfacestates.interfaces.eda.nokia.com                2025-11-24T13:47:33Z
ipallocationpools.core.eda.nokia.com                    2025-11-24T13:40:12Z
ipinsubnetallocationpools.core.eda.nokia.com            2025-11-24T13:40:12Z
irbinterfaces.services.eda.nokia.com                    2025-11-24T13:47:14Z
irbinterfacestates.services.eda.nokia.com               2025-11-24T13:47:15Z
islpings.fabrics.eda.nokia.com                          2025-11-24T13:47:27Z
isls.fabrics.eda.nokia.com                              2025-11-24T13:47:27Z
islstates.fabrics.eda.nokia.com                         2025-11-24T13:47:27Z
keychaindeployments.security.eda.nokia.com              2025-11-24T13:47:12Z
keychains.security.eda.nokia.com                        2025-11-24T13:47:12Z
licenses.core.eda.nokia.com                             2025-11-24T13:40:12Z
lldpoverlays.topologies.eda.nokia.com                   2025-11-24T13:47:29Z
managementrouters.bootstrap.eda.nokia.com               2025-11-24T13:47:17Z
managementrouterstates.bootstrap.eda.nokia.com          2025-11-24T13:47:17Z
manifests.core.eda.nokia.com                            2025-11-24T13:40:12Z
memoryoverlays.components.eda.nokia.com                 2025-11-24T13:47:25Z
mirrorfilterdeployments.filters.eda.nokia.com           2025-11-24T13:47:13Z
mirrorfilters.filters.eda.nokia.com                     2025-11-24T13:47:13Z
mirrors.oam.eda.nokia.com                               2025-11-24T13:47:28Z
mirrorstates.oam.eda.nokia.com                          2025-11-24T13:47:28Z
monitoraggregatestates.components.eda.nokia.com         2025-11-24T13:47:25Z
monitoraggregatestates.system.eda.nokia.com             2025-11-24T13:47:31Z
monitors.components.eda.nokia.com                       2025-11-24T13:47:25Z
monitors.system.eda.nokia.com                           2025-11-24T13:47:31Z
monitorstates.components.eda.nokia.com                  2025-11-24T13:47:25Z
monitorstates.system.eda.nokia.com                      2025-11-24T13:47:31Z
namespaces.core.eda.nokia.com                           2025-11-24T13:40:12Z
nodeconfigs.core.eda.nokia.com                          2025-11-24T13:40:12Z
nodegroupdeployments.aaa.eda.nokia.com                  2025-11-24T13:47:32Z
nodegroups.aaa.eda.nokia.com                            2025-11-24T13:47:32Z
nodeprofiles.core.eda.nokia.com                         2025-11-24T13:40:13Z
nodesecurityprofiles.core.eda.nokia.com                 2025-11-24T13:40:13Z
nodeusers.core.eda.nokia.com                            2025-11-24T13:40:13Z
nodeuserstates.aaa.eda.nokia.com                        2025-11-24T13:47:32Z
ntpclients.timing.eda.nokia.com                         2025-11-24T13:47:09Z
ntpclientstates.timing.eda.nokia.com                    2025-11-24T13:47:09Z
pings.oam.eda.nokia.com                                 2025-11-24T13:47:28Z
policyattachments.qos.eda.nokia.com                     2025-11-24T13:47:24Z
policydeployments.qos.eda.nokia.com                     2025-11-24T13:47:24Z
policydeployments.routingpolicies.eda.nokia.com         2025-11-24T13:47:20Z
policys.routingpolicies.eda.nokia.com                   2025-11-24T13:47:20Z
powersupplies.components.eda.nokia.com                  2025-11-24T13:47:25Z
prefixsetdeployments.routingpolicies.eda.nokia.com      2025-11-24T13:47:20Z
prefixsets.routingpolicies.eda.nokia.com                2025-11-24T13:47:20Z
queues.qos.eda.nokia.com                                2025-11-24T13:47:24Z
registries.appstore.eda.nokia.com                       2025-11-24T13:40:13Z
roles.core.eda.nokia.com                                2025-11-24T13:40:13Z
routedinterfaces.services.eda.nokia.com                 2025-11-24T13:47:15Z
routedinterfacestates.services.eda.nokia.com            2025-11-24T13:47:14Z
routelookups.routing.eda.nokia.com                      2025-11-24T13:47:10Z
